INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_8', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_01', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_02', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_03', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_04', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_05', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_06', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_07', directory=False, extension='py', parents_directory='seminar_5')
INFO - 2024-03-13 14:14:28,396 в строке 38 : Folder_object(name='__pycache__', directory=True, extension='no ext', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='main', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_01', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_02', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_03', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_03_1', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_04', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_05', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_06', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_07', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_08', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='__init__', directory=False, extension='py', parents_directory='seminar_6')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_02', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_04', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_06', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,396 в строке 38 : Folder_object(name='__pycache__', directory=True, extension='no ext', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,396 в строке 40 : Folder_object(name='task_0', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_3_1', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_5_1', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_6_1', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_7', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_7_1', directory=False, extension='py', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='text_names', directory=False, extension='txt', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='text_nums', directory=False, extension='txt', parents_directory='seminar_7')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_4', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_5', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_5_1', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_6', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_6_1', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,397 в строке 38 : Folder_object(name='task_5', directory=True, extension='no ext', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 38 : Folder_object(name='__pycache__', directory=True, extension='no ext', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_2_1', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,397 в строке 40 : Folder_object(name='task_7', directory=False, extension='py', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='text_result', directory=False, extension='json', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='text_result', directory=False, extension='txt', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='workers', directory=False, extension='csv', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='workers', directory=False, extension='json', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='workers_new', directory=False, extension='json', parents_directory='seminar_8')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='text_result', directory=False, extension='json', parents_directory='task_5')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='text_result', directory=False, extension='pickle', parents_directory='task_5')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='workers', directory=False, extension='json', parents_directory='task_5')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='workers', directory=False, extension='pickle', parents_directory='task_5')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_2_1', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='class_deco', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_2_1', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_9')
INFO - 2024-03-13 14:14:28,398 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_9')
